name,ghidra_addr,ne_addr,type
crcRCW,1120:4b94,0025:4b94,COLORREF
crgbtnXfer,1120:4b96,0025:4b96,COLORREF
rgbCur,1120:4b98,0025:4b98,char[1024]
iResTechNow,1120:4f98,0025:4f98,int16_t
vplr,1120:4f9a,0025:4f9a,PLAYER
dyTitleBar,1120:505a,0025:505a,int16_t
szLastMsgGet,1120:505c,0025:505c,char[256]
vrgAiArmadaPotency,1120:515c,0025:515c,uint8_t[4]
rghdibShipsT,1120:5160,0025:5160,uint16_t[5]
bitfMsgSent,1120:516a,0025:516a,uint8_t[49]
hbrDkYellow,1120:519c,0025:519c,HBRUSH
vrgbMachineConfig,1120:519e,0025:519e,uint8_t[11]
grbitScanEShip,1120:51aa,0025:51aa,uint16_t
iAboutPartial,1120:51ac,0025:51ac,int16_t
vAiMacRecycleSB,1120:51ae,0025:51ae,uint8_t *
lpchBatchMac,1120:51b0,0025:51b0,char *
ptslotGlob,1120:51b4,0025:51b4,POINT
vpctProgressGauge,1120:51b8,0025:51b8,int16_t
hwndFleetCompLB,1120:51ba,0025:51ba,HWND
vrgiflMerge,1120:51bc,0025:51bc,int16_t *
vrgplrTypeNew,1120:51be,0025:51be,uint8_t[16]
hcurResize4Way,1120:51ce,0025:51ce,HCURSOR
lpfnBrowserDlgProc,1120:51d0,0025:51d0,int32_t() *
btlplan,1120:51d4,0025:51d4,BTLPLAN
vdxScoreX,1120:51f8,0025:51f8,int16_t
dxResStrRight,1120:51fa,0025:51fa,int16_t
hwndMsgDrop,1120:51fc,0025:51fc,HWND
lpfnHostTimerProc,1120:51fe,0025:51fe,int32_t() *
lpshdefBuild,1120:5202,0025:5202,SHDEF *
lpb2k,1120:5206,0025:5206,uint8_t *
hbrCargo,1120:520a,0025:520a,HBRUSH
tutor,1120:520c,0025:520c,TUTOR
rglRandStack,1120:5238,0025:5238,int32_t[2][4]
cXferValidHulls,1120:5258,0025:5258,int16_t
hrgnHuge,1120:525a,0025:525a,HRGN
hwndPlanetProdLB,1120:525c,0025:525c,HWND
hcurHand,1120:525e,0025:525e,HCURSOR
hdrPrev,1120:5260,0025:5260,HDR
hbrDock,1120:5262,0025:5262,HBRUSH
vrgZip,1120:5264,0025:5264,ZIPORDER[4]
rghbrCache,1120:52c4,0025:52c4,uint16_t[32]
hcurCloseGrab,1120:5304,0025:5304,HCURSOR
vbrcVCRFocus,1120:5306,0025:5306,uint8_t
grbitScanShip,1120:5308,0025:5308,uint16_t
dyArial10,1120:530a,0025:530a,int16_t
ishdefBuild,1120:530c,0025:530c,int16_t
hwndShipDD,1120:530e,0025:530e,HWND
hInst,1120:5310,0025:5310,uint16_t
vcScreenColors,1120:5312,0025:5312,int16_t
vhpal,1120:5314,0025:5314,uint16_t
