name,ghidra_addr,ne_addr,signature
CMineSweepFromLphul,1080:2bfa,0011:2bfa,"int32_t CMineSweepFromLphul(HUL *lphul)"
PctCloakFromLpfl,1080:2d5e,0011:2d5e,"int16_t PctCloakFromLpfl(FLEET *lpfl)"
CPtsCloakFromLphs,1080:3170,0011:3170,"int16_t CPtsCloakFromLphs(HS *lphs)"
MergeFleetsDlg,1080:3376,0011:3376,"int16_t MergeFleetsDlg(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
MarkTechsSeen,1080:36b6,0011:36b6,"void MarkTechsSeen(HUL *lphul, int16_t iplr)"
DoAiTurn,1088:0000,0012:0000,"void DoAiTurn(int16_t iPlayer, uint16_t wMdPlr)"
DoRobotoidAiTurn,1088:0312,0012:0312,"void DoRobotoidAiTurn(PROD *rgprod)"
EnsureRobotoidShdefs,1088:20ae,0012:20ae,"void EnsureRobotoidShdefs()"
IdTargetArmada,1088:288e,0012:288e,"int16_t IdTargetArmada(FLEET *lpfl)"
FPotentRobWarFleet,1088:31bc,0012:31bc,"int16_t FPotentRobWarFleet(FLEET *lpfl, int16_t iPotency)"
FEnumCalcEnemyFleets,1088:325c,0012:325c,"int16_t FEnumCalcEnemyFleets(FLEET *lpflSrc, FLEET *lpflTest)"
FEnumCalcArmadaDest,1088:3286,0012:3286,"int16_t FEnumCalcArmadaDest(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumCalcArmadaHumanDest,1088:3406,0012:3406,"int16_t FEnumCalcArmadaHumanDest(PLANET *lpplSrc, PLANET *lpplTest)"
DoTurinDroneAiTurn,1088:3670,0012:3670,"void DoTurinDroneAiTurn(PROD *rgprod)"
EnsureTurinDroneShdefs,1088:58ba,0012:58ba,"void EnsureTurinDroneShdefs(int16_t iroCur)"
FEnumCalcMinerDest,1088:5f32,0012:5f32,"int16_t FEnumCalcMinerDest(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumCalcColonistDrop,1088:5fc8,0012:5fc8,"int16_t FEnumCalcColonistDrop(PLANET *lpplSrc, PLANET *lpplTest)"
FCreateAiShdef,1090:012c,0013:012c,"int16_t FCreateAiShdef(int16_t ishdef, int16_t ihul, uint8_t *rgaip)"
FGetAIPart,1090:043e,0013:043e,"int16_t FGetAIPart(int16_t aip, PART *ppart)"
PickANameAndBmp,1090:055a,0013:055a,"void PickANameAndBmp(SHDEF *pshdef, StringId ids, int16_t cids, int16_t ibmpStart)"
FChangeAiShdef,1090:08a2,0013:08a2,"int16_t FChangeAiShdef(SHDEF *pshdef, int16_t ishdef)"
XferAiSupply,1090:0ad0,0013:0ad0,"int16_t XferAiSupply(GrobjClass grobjSrc, int16_t idSrc, GrobjClass grobjDst, int16_t idDst, int16_t iSupply, int16_t cQuan)"
XferAiTroopers,1090:0bc2,0013:0bc2,"int16_t XferAiTroopers(int16_t idSrc, int16_t idDst, int16_t cQuan)"
FColonizeAiFleet,1090:0c78,0013:0c78,"int16_t FColonizeAiFleet(FLEET *lpfl, int16_t idPlanet)"
FGotoWormholeAiFleet,1090:0d5c,0013:0d5c,"int16_t FGotoWormholeAiFleet(FLEET *lpfl, THING *lpthWorm)"
IdNearestColonizablePlanet,1090:0e3e,0013:0e3e,"int16_t IdNearestColonizablePlanet(FLEET *lpflCol, THING **plpthWorm)"
LpthWormFind,1090:12e6,0013:12e6,"THING * LpthWormFind(POINT *ppt, int32_t d2)"
UlFleetPower,1090:14de,0013:14de,"uint32_t UlFleetPower(FLEET *lpfl)"
IdNearestUnknownPlanet,1090:15a4,0013:15a4,"int16_t IdNearestUnknownPlanet(FLEET *lpfl, THING **plpthWorm)"
AddMinesToBlockedQueues,1090:1792,0013:1792,"void AddMinesToBlockedQueues()"
FFleetInField,1090:1cf6,0013:1cf6,"int16_t FFleetInField(FLEET *lpfl, THING *lpth)"
SetAiFleetIdealSpeed,1090:1d9e,0013:1d9e,"void SetAiFleetIdealSpeed(FLEET *lpfl, int16_t wtFuelMax, int16_t cMinefields, THING **rglpth)"
IdTargetAttack,1090:1ffe,0013:1ffe,"int16_t IdTargetAttack(FLEET *lpfl, FLEET *lpflAtk, FLEET *lpflEnemy, int16_t fOnlyHumans)"
IdTargetFreighter,1090:286c,0013:286c,"int16_t IdTargetFreighter(FLEET *lpflFr, PLANET *lpplHome)"
FSalvageTargetFreighter2,1090:395a,0013:395a,"int16_t FSalvageTargetFreighter2(FLEET *lpflFr, int16_t fNeedy, int16_t iWorst, int16_t pctFull, int32_t wtCargoMax, int32_t scoreBest, THING **plpthBest, int16_t *pidBest)"
FMoveAiFleet,1090:3d0a,0013:3d0a,"int16_t FMoveAiFleet(FLEET *lpfl, ORDER *pord, int16_t fAppend)"
AddItemToQueue,1090:3e50,0013:3e50,"void AddItemToQueue(uint16_t iItem, uint16_t cItem, GrobjClass grobj, int16_t mdAddItem)"
IroEnsureAi,1090:425a,0013:425a,"int16_t IroEnsureAi(uint8_t *lpbRes, int16_t cRes, int16_t *pishdefSBLatest, int16_t pct)"
KeepFleetsMoving,1090:45ca,0013:45ca,"void KeepFleetsMoving()"
FShouldWeBuildColonizers,1090:476a,0013:476a,"int16_t FShouldWeBuildColonizers(int16_t *pcCol)"
FIsAiAttack,1090:4a72,0013:4a72,"int16_t FIsAiAttack(FLEET *lpfl)"
FIsTurinDroneAiAttack,1090:4b9a,0013:4b9a,"int16_t FIsTurinDroneAiAttack(FLEET *lpfl)"
FIsAiTransport,1090:4c08,0013:4c08,"int16_t FIsAiTransport(FLEET *lpfl)"
ValidateStarbaseHistory,1090:4cf0,0013:4cf0,"void ValidateStarbaseHistory()"
GetResourcesAvailable,1090:56d0,0013:56d0,"void GetResourcesAvailable(PLANET *lppl, int32_t *rgRes)"
GetProdQCost,1090:57c0,0013:57c0,"void GetProdQCost(PLANET *lppl, int32_t *rgCost)"
MergeAllShdefs,1090:58be,0013:58be,"void MergeAllShdefs(int16_t grbitish)"
LpflFindClosestEnum,1090:5bae,0013:5bae,"FLEET * LpflFindClosestEnum(FLEET *lpfl, int16_t (**pfn)(FLEET *, FLEET *))"
LpplFindClosestEnum,1090:5cd4,0013:5cd4,"PLANET * LpplFindClosestEnum(PLANET *lppl, int16_t (**pfn)(PLANET *, PLANET *))"
LpplFindBestEnum,1090:5e06,0013:5e06,"PLANET * LpplFindBestEnum(PLANET *lppl, int16_t (**pfn)(PLANET *, PLANET *))"
IdRandomPlanetNearby,1090:5f54,0013:5f54,"int16_t IdRandomPlanetNearby(POINT pt, int16_t cDist, int16_t fAvoidStarbases)"
ClearAiCurrentTask,1090:60c0,0013:60c0,"void ClearAiCurrentTask(FLEET *lpfl, int16_t fChangeSel)"
FEnumOurStarbase,1090:6110,0013:6110,"int16_t FEnumOurStarbase(PLANET *lpplSrc, PLANET *lpplTest)"
FFleetMightHaveTeeth,1090:6152,0013:6152,"int16_t FFleetMightHaveTeeth(FLEET *lpfl)"
IdTargetScout,1090:61de,0013:61de,"int16_t IdTargetScout(FLEET *lpfl, FLEET *lpflAtk, FLEET *lpflEnemy, int16_t fOnlyHumans, THING **plpthWorm)"
MarkPlanetsUnderAttack,1090:6896,0013:6896,"void MarkPlanetsUnderAttack()"
FixPlanetsUnderAttack,1090:69e6,0013:69e6,"void FixPlanetsUnderAttack(PROD *rgprod)"
QuickBuildDefenses,1090:6a7e,0013:6a7e,"void QuickBuildDefenses(PLANET *lppl, PROD *rgprod)"
IdplFindClosestStarbase,1090:6e04,0013:6e04,"int16_t IdplFindClosestStarbase(FLEET *lpfl, int16_t fBigOnes)"
FMoveToNearestStarbase,1090:6f7e,0013:6f7e,"int16_t FMoveToNearestStarbase(FLEET *lpfl, int16_t fBigOnes)"
MoveToNearestPlanetOrEnemy,1090:7014,0013:7014,"void MoveToNearestPlanetOrEnemy(FLEET *lpfl, int16_t dEnemyRange)"
EnsureAiStarbaseDesigns,1090:7222,0013:7222,"void EnsureAiStarbaseDesigns()"
EnsureMacintiStarbaseDesigns,1090:76e4,0013:76e4,"void EnsureMacintiStarbaseDesigns(uint8_t *rgSB)"
FCreateAiStarbase,1090:7bca,0013:7bca,"int16_t FCreateAiStarbase(int16_t ishdef, int16_t iLevel, int16_t aisb, int16_t isb)"
FAIFling,1090:7dd6,0013:7dd6,"int16_t FAIFling(PLANET *lppl, int32_t *rgResAvail)"
IshdefAiSBLatestOF,1090:8458,0013:8458,"int16_t IshdefAiSBLatestOF()"
IshdefAiSBLatest,1090:84be,0013:84be,"int16_t IshdefAiSBLatest()"
QueueAiStarbases,1090:8524,0013:8524,"void QueueAiStarbases(PROD *rgprod, int16_t ishdefSBLatest)"
FUpgradeAiStarbase,1090:882a,0013:882a,"int16_t FUpgradeAiStarbase(PLANET *lppl, int16_t ishdefSBLatest)"
FQueueAiTerraforming,1090:8d28,0013:8d28,"int16_t FQueueAiTerraforming(PLANET *lppl, int32_t *rgResAvail, int32_t *rgResCost)"
FQueueAiScanner,1090:90d6,0013:90d6,"int16_t FQueueAiScanner(PLANET *lppl, int32_t *rgResAvail, int32_t *rgResCost)"
FQueueAiDefenses,1090:939a,0013:939a,"int16_t FQueueAiDefenses(PLANET *lppl, int32_t *rgResAvail, int32_t *rgResCost)"
HandleBasicAiTasks,1090:95a4,0013:95a4,"void HandleBasicAiTasks(int16_t iroCur, PROD *rgprod, int16_t ishdefSBLatest, int32_t *rgResAvail, int32_t *rgResCost)"
SplitOutShdefs,1090:98d8,0013:98d8,"void SplitOutShdefs(uint8_t *rgbIsh)"
CheckAiShdefStatus,1090:9b10,0013:9b10,"int16_t CheckAiShdefStatus(int16_t ishBeg, int16_t ishEnd, uint16_t cRecyclePeriod, int16_t *piLatest, uint8_t *rgbOld)"
IncreaseAIMinefieldSizes,1090:9c66,0013:9c66,"void IncreaseAIMinefieldSizes()"
FFindBuddyAndJoinUp,1090:9d18,0013:9d18,"int16_t FFindBuddyAndJoinUp(FLEET *lpfl, int16_t ishLo, int16_t ishHi, int32_t lMaxDist1, int32_t lMaxDist2)"
FShouldPlanetBuildColonizer,1090:9f30,0013:9f30,"int16_t FShouldPlanetBuildColonizer(PLANET *lpplSrc)"
InitRandomPlanetList,1090:a082,0013:a082,"void InitRandomPlanetList()"
DoMaidAiTurn,1098:0000,0014:0000,"void DoMaidAiTurn(PROD *rgprod)"
FPotentISWarFleet,1098:012e,0014:012e,"int16_t FPotentISWarFleet(FLEET *lpfl, int16_t iPotency)"
DoAutomitronAiTurn,1098:01e0,0014:01e0,"void DoAutomitronAiTurn(PROD *rgprod)"
EnsureISShdefs,1098:1938,0014:1938,"void EnsureISShdefs(int16_t iroCur)"
DoRototillAiTurn,1098:1e22,0014:1e22,"void DoRototillAiTurn(PROD *rgprod)"
EnsureCAShdefs,1098:3020,0014:3020,"void EnsureCAShdefs(int16_t iroCur)"
DoMacintiAiTurn,10a0:0008,0015:0008,"void DoMacintiAiTurn(PROD *rgprod)"
EnsureMacintiShdefs,10a0:2b3c,0015:2b3c,"void EnsureMacintiShdefs()"
FRetargetMiner,10a0:336c,0015:336c,"int16_t FRetargetMiner(FLEET *lpfl)"
IdTargetMacFreighter,10a0:3524,0015:3524,"int16_t IdTargetMacFreighter(FLEET *lpfl)"
TargetMacArmada,10a0:3e3a,0015:3e3a,"void TargetMacArmada(FLEET *lpfl)"
FPotentMacWarFleet,10a0:42ec,0015:42ec,"int16_t FPotentMacWarFleet(FLEET *lpfl, int16_t *pcEquiv)"
DoCyberAiTurn,10a8:002a,0016:002a,"void DoCyberAiTurn(PROD *rgprod)"
DoCyberPackets,10a8:1a78,0016:1a78,"void DoCyberPackets()"
IdGetBestScannerDest,10a8:282a,0016:282a,"int16_t IdGetBestScannerDest(PLANET *lppl, int16_t iDir)"
FAddPacketToQueue,10a8:2bc0,0016:2bc0,"int16_t FAddPacketToQueue(PLANET *lppl)"
FillProductionQueue,10a8:2ce2,0016:2ce2,"void FillProductionQueue()"
FFillProdMinesAndFactories,10a8:2d72,0016:2d72,"int16_t FFillProdMinesAndFactories(PLANET *lppl)"
DoCyberFreighter,10a8:37b0,0016:37b0,"void DoCyberFreighter(FLEET *lpfl, CYBERINFOTEMP *lpciPlanTemp)"
FEnumDropOffStage1,10a8:3d00,0016:3d00,"int16_t FEnumDropOffStage1(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumDropOffStage2,10a8:3dfe,0016:3dfe,"int16_t FEnumDropOffStage2(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumPickUp,10a8:3f00,0016:3f00,"int16_t FEnumPickUp(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumNeedMinerals,10a8:3f5e,0016:3f5e,"int16_t FEnumNeedMinerals(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumPktAttack,10a8:4204,0016:4204,"int16_t FEnumPktAttack(PLANET *lpplSrc, PLANET *lpplTest)"
FEnumCalcEnemyPlanets,10a8:45a6,0016:45a6,"int16_t FEnumCalcEnemyPlanets(PLANET *lpplSrc, PLANET *lpplTest)"
iBuildCyberStarbase,10a8:45de,0016:45de,"int16_t iBuildCyberStarbase(PLANET *lppl)"
EnsureCyberAiShdefs,10a8:4826,0016:4826,"void EnsureCyberAiShdefs(int16_t iroCur)"
iAddAttackFleet,10a8:4eba,0016:4eba,"int16_t iAddAttackFleet(PLANET *lppl, int16_t iAttackStr, int16_t iBestDestroyer, int16_t iBestBattle, int16_t iBestSBDefender)"
TargetCyberArmada,10a8:51a4,0016:51a4,"void TargetCyberArmada(FLEET *lpfl)"
FGenerateTurn,10b0:0000,0017:0000,"int16_t FGenerateTurn()"
DoOrders,10b0:179a,0017:179a,"void DoOrders(int16_t fPostMovement)"
MoveThings,10b0:18f4,0017:18f4,"void MoveThings(int16_t fPostProd)"
FuelFleets,10b0:2efa,0017:2efa,"void FuelFleets()"
MoveFleets,10b0:32ce,0017:32ce,"void MoveFleets()"
FTravelThroughMineFields,10b0:4f60,0017:4f60,"int16_t FTravelThroughMineFields(FLEET *lpfl, int16_t *pdTravel, THING *lpthHit)"
SatisfyOrders,10b0:6798,0017:6798,"void SatisfyOrders(int16_t iPass)"
Produce,10b8:0000,0018:0000,"void Produce()"
CBuildProdItem,10b8:0c92,0018:0c92,"int16_t CBuildProdItem(PLANET *lppl, PROD *lpprod, PROD *pprodPartial, int32_t *rgRes, int16_t fAlchemy, int16_t *pmdStatus, int16_t fCalcOnly)"
FBuildObject,10b8:19b2,0018:19b2,"int16_t FBuildObject(PLANET *lppl, GrobjClass grobj, int16_t iItem, int16_t cBuilt, int32_t *rgMinerals)"
CreateShip,10b8:2fd6,0018:2fd6,"void CreateShip(int16_t iPlr, FLEET *lpfl, int16_t ishdef, int16_t cShip)"
RandomEvents,10b8:3064,0018:3064,"void RandomEvents()"
TransferToOthers,10b8:3088,0018:3088,"void TransferToOthers()"
DropColonists,10b8:34e2,0018:34e2,"void DropColonists()"
HealShips,10b8:444c,0018:444c,"void HealShips()"
AutoTerraform,10b8:48f6,0018:48f6,"void AutoTerraform()"
RemoteTerraforming,10b8:4c56,0018:4c56,"void RemoteTerraforming()"
FQueueColonistDrop,10b8:4faa,0018:4faa,"int16_t FQueueColonistDrop(FLEET *lpfl, PLANET *lppl, int32_t cColonists)"
UpdatePopulations,10b8:50a0,0018:50a0,"void UpdatePopulations()"
UpdateGuesses,10b8:532c,0018:532c,"void UpdateGuesses()"
MineMinerals,10b8:55a4,0018:55a4,"void MineMinerals()"
MeteorStrike,10b8:560e,0018:560e,"void MeteorStrike()"
TossNonAutoBuildItems,10b8:5aec,0018:5aec,"void TossNonAutoBuildItems(PLANET *lppl)"
PlanetaryClimateChange,10b8:5c54,0018:5c54,"void PlanetaryClimateChange()"
DiscoverNewMinerals,10b8:5e0c,0018:5e0c,"void DiscoverNewMinerals()"
MysteryTrader,10b8:5efa,0018:5efa,"void MysteryTrader()"
UpdatePlayerScores,10b8:6258,0018:6258,"void UpdatePlayerScores()"
CreateBackupDir,10b8:6dca,0018:6dca,"void CreateBackupDir()"
FPacketDecay,10b8:6e9c,0018:6e9c,"int16_t FPacketDecay(THING *lpth, int16_t pctRate)"
ThingDecay,10b8:70c6,0018:70c6,"void ThingDecay()"
UnmarkMineFields,10b8:7638,0018:7638,"void UnmarkMineFields()"
SweepForMines,10b8:76a4,0018:76a4,"void SweepForMines()"
BreedColonistsInTransit,10b8:7e4e,0018:7e4e,"void BreedColonistsInTransit()"
UpdateResearchStatus,10b8:80fe,0018:80fe,"void UpdateResearchStatus(int16_t fUsePool)"
IBestRemoteTerra,10b8:8b70,0018:8b70,"int16_t IBestRemoteTerra(PLANET *lppl, int16_t iplr, int16_t fHelp)"
PopupWndProc,10c0:0000,0019:0000,"int32_t PopupWndProc(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
FIsPopupHullType,10c0:0148,0019:0148,"int16_t FIsPopupHullType(int16_t ishdef)"
DrawPopup,10c0:01c0,0019:01c0,"void DrawPopup(HWND hwnd, HDC hdc)"
Popup,10c0:0c7c,0019:0c7c,"void Popup(HWND hwnd, int16_t x, int16_t y)"
PopupMenu,10c0:136c,0019:136c,"int16_t PopupMenu(HWND hwnd, int16_t x, int16_t y, int16_t cString, int32_t *rgids, char **rgsz, int16_t iChecked, int16_t fRightBtn)"
PtDisplayPlanetStateInfo,10c0:1938,0019:1938,"POINT PtDisplayPlanetStateInfo(HDC hdc, int16_t fPrint)"
PtDisplayPlanetPopInfo,10c0:228e,0019:228e,"POINT PtDisplayPlanetPopInfo(HDC hdc, int16_t fPrint)"
PtDisplayZipOrdInfo,10c0:2d66,0019:2d66,"POINT PtDisplayZipOrdInfo(HDC hdc, int16_t xCtr, int16_t fPrint)"
PtDisplayFactoryMineInfo,10c0:3110,0019:3110,"POINT PtDisplayFactoryMineInfo(HDC hdc, int16_t dx, int16_t fPrint)"
PtDisplayResourceInfo,10c0:3378,0019:3378,"POINT PtDisplayResourceInfo(HDC hdc, int16_t dx, int16_t fPrint)"
PtDisplayString,10c0:355c,0019:355c,"POINT PtDisplayString(HDC hdc, int16_t dx, int16_t fPrint)"
ShipBuilder,10c8:008c,001a:008c,"int16_t ShipBuilder(POINT ptDlgSize)"
ShowMainControls,10c8:0160,001a:0160,"void ShowMainControls(HWND hwnd, ShowWindowCmd sw)"
FCheckQueuedShip,10c8:027c,001a:027c,"int16_t FCheckQueuedShip(HWND hwnd, SHDEF *lpshdef, int16_t fEdit)"
SlotDlg,10c8:0550,001a:0550,"int16_t SlotDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawSlotDlg,10c8:2650,001a:2650,"void DrawSlotDlg(HWND hwnd, HDC hdc, RECT *prc, int16_t iDraw)"
FTrackSlot,10c8:306a,001a:306a,"int16_t FTrackSlot(HWND hwnd, int16_t x, int16_t y, int16_t fkb, int16_t fListBox, int16_t fRightBtn)"
DrawBuildSelComp,10c8:3ab2,001a:3ab2,"void DrawBuildSelComp(HWND hwnd, HDC hdc, int16_t iDraw)"
PctJammerFromHul,10c8:42e6,001a:42e6,"int16_t PctJammerFromHul(HUL *lphul)"
DrawBuildSelHull,10c8:451e,001a:451e,"void DrawBuildSelHull(HWND hwnd, HDC hdc, int16_t iDraw, RECT *prc)"
SetBuildSelection,10c8:53da,001a:53da,"void SetBuildSelection(int16_t iSrc)"
IDropPart,10c8:5476,001a:5476,"int16_t IDropPart(POINT pt, HS hsSrc, int16_t iSrc, int16_t fNoModify)"
DrawDlgLBEntireItem,10c8:59f0,001a:59f0,"void DrawDlgLBEntireItem(DRAWITEMSTRUCT *lpdis, int16_t inflate)"
NthValidShdef,10c8:5c06,001a:5c06,"SHDEF * NthValidShdef(int16_t n)"
NthValidEnemyShdef,10c8:5cf4,001a:5cf4,"SHDEF * NthValidEnemyShdef(int16_t n)"
FillBuildDD,10c8:5e80,001a:5e80,"void FillBuildDD(HWND hwndDD, MdBuild md)"
FillBuildPartsLB,10c8:63e8,001a:63e8,"void FillBuildPartsLB(HWND hwndLB, int16_t grbit)"
UpdateSlotGlobals,10c8:6528,001a:6528,"void UpdateSlotGlobals()"
IEmptyBmpFromGrhst,10c8:6716,001a:6716,"int16_t IEmptyBmpFromGrhst(int16_t grhst)"
FakeListProc,10c8:6758,001a:6758,"int32_t FakeListProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
MakeNewName,10c8:694c,001a:694c,"void MakeNewName(char *lpsz)"
KillQueuedMassPackets,10c8:6a52,001a:6a52,"void KillQueuedMassPackets(PLANET *lppl)"
KillQueuedShips,10c8:6c2a,001a:6c2a,"void KillQueuedShips(PLANET *lppl)"
ChangeProduction,10d0:0000,001b:0000,"int16_t ChangeProduction(int16_t fClear)"
InitProduction,10d0:015e,001b:015e,"void InitProduction(PROD *rgprod)"
FinishProduction,10d0:1090,001b:1090,"void FinishProduction(int16_t fWrite)"
ProductionDlg,10d0:1204,001b:1204,"int16_t ProductionDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
ProdCommandHandler,10d0:1994,001b:1994,"void ProdCommandHandler(HWND hwnd, uint16_t wParam, int32_t lParam)"
InitializeProductionDlg,10d0:3430,001b:3430,"void InitializeProductionDlg(HWND hwnd)"
DrawProductionDlg,10d0:35dc,001b:35dc,"void DrawProductionDlg(HWND hwnd, HDC hdc, RECT *prc, int16_t iDraw)"
FillProdSrcLB,10d0:3b00,001b:3b00,"void FillProdSrcLB(HWND hwndLB, int16_t mdFill)"
PszNameProdItem,10d0:3c92,001b:3c92,"char * PszNameProdItem(PROD *lpprod)"
GetProductionCosts,10d0:3f20,001b:3f20,"void GetProductionCosts(PLANET *lppl, PROD *lpprod, uint32_t *rgCost, int16_t iplr, int16_t fOnlyOne)"
EstimateItemProdSched,10d0:4f40,001b:4f40,"void EstimateItemProdSched(PLANET *lppl, PLPROD *lpplprod, ProdItemType iItem, int16_t *piFirst, int16_t *piLast)"
ZipProdDlg,10d0:5490,001b:5490,"int16_t ZipProdDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
EnableZipProdBtns,10d0:5df0,001b:5df0,"void EnableZipProdBtns(HWND hwnd, int16_t iSel)"
FillZipProdLB,10d0:5e58,001b:5e58,"void FillZipProdLB(HWND hwndDlg, ZIPPRODQ *pzpq)"
ResearchDlg,10d8:0000,001c:0000,"int16_t ResearchDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawResearchDlg,10d8:090a,001c:090a,"void DrawResearchDlg(HWND hwnd, HDC hdc, RECT *prc, int16_t grbitDraw)"
FTrackResearchDlg,10d8:1a8c,001c:1a8c,"int16_t FTrackResearchDlg(HWND hwnd, int16_t x, int16_t y, int16_t fkb)"
GetTechLevelCost,10d8:1dba,001c:1dba,"int32_t GetTechLevelCost(int16_t iTech, int16_t iLevel, int16_t iplr)"
BrowserDlg,10d8:1ed8,001c:1ed8,"int16_t BrowserDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
BrowserWndProc,10d8:2876,001c:2876,"int32_t BrowserWndProc(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DisplayComponentInfo,10d8:2ac6,001c:2ac6,"void DisplayComponentInfo(HDC hdc, int16_t dx, int16_t dy, PART *ppart)"
ProjectedResearchSpending,10d8:65ae,001c:65ae,"int32_t ProjectedResearchSpending(int32_t pct)"
CostOfDevelopingItem,10d8:66e0,001c:66e0,"int32_t CostOfDevelopingItem(char *rgTech)"
FShouldPartBeHidden,10d8:68c4,001c:68c4,"int16_t FShouldPartBeHidden(PART *ppart)"
RaceCreationWizard,10e0:0000,001d:0000,"int16_t RaceCreationWizard(HWND hwndParent, int16_t fReadOnly, int16_t fDontWrite)"
RaceWizardDlg1,10e0:03ac,001d:03ac,"int16_t RaceWizardDlg1(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
RaceWizardDlg2,10e0:1060,001d:1060,"int16_t RaceWizardDlg2(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawRace2,10e0:179a,001d:179a,"void DrawRace2(HWND hwnd, HDC hdc, int16_t iDraw)"
IrcRaceDlgHitTest,10e0:2164,001d:2164,"int16_t IrcRaceDlgHitTest(POINT pt)"
FTrackRaceDlg2,10e0:2204,001d:2204,"int16_t FTrackRaceDlg2(HWND hwnd, POINT pt, int16_t kbd)"
RaceWizardDlg3,10e0:2792,001d:2792,"int16_t RaceWizardDlg3(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawRace3,10e0:2aa4,001d:2aa4,"void DrawRace3(HWND hwnd, HDC hdc, int16_t iDraw)"
FTrackRaceDlg3,10e0:2fb8,001d:2fb8,"int16_t FTrackRaceDlg3(HWND hwnd, POINT pt, int16_t kbd)"
GetRaceStat,10e0:30d2,001d:30d2,"int16_t GetRaceStat(PLAYER *pplr, RaceStat iStat)"
SetRaceStat,10e0:3114,001d:3114,"int16_t SetRaceStat(PLAYER *pplr, RaceStat iStat, int16_t iVal)"
GetRaceGrbit,10e0:3176,001d:3176,"int16_t GetRaceGrbit(PLAYER *pplr, RaceGrbit ibit)"
SetRaceGrbit,10e0:31b8,001d:31b8,"void SetRaceGrbit(PLAYER *pplr, RaceGrbit ibit, int16_t fSet)"
RaceWizardDlg4,10e0:320a,001d:320a,"int16_t RaceWizardDlg4(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
RaceWizardDlg5,10e0:378e,001d:378e,"int16_t RaceWizardDlg5(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
RaceWizardDlg6,10e0:3bae,001d:3bae,"int16_t RaceWizardDlg6(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
BoundsCheckPlayer,10e0:40ae,001d:40ae,"void BoundsCheckPlayer(PLAYER *pplr)"
CAdvantagePoints,10e0:444c,001d:444c,"int16_t CAdvantagePoints(PLAYER *pplr)"
LInnateRaceHabitability,10e0:4c6e,001d:4c6e,"int32_t LInnateRaceHabitability(PLAYER *pplr)"
InvalidateAdvPtsRect,10e0:54d4,001d:54d4,"void InvalidateAdvPtsRect(HWND hwnd)"
DrawRaceAdvantagePoints,10e0:55c6,001d:55c6,"void DrawRaceAdvantagePoints(HDC hdc, RECT *prc, PLAYER *pplr)"
IRaceChecksum,10e0:5888,001d:5888,"uint16_t IRaceChecksum(PLAYER *pplr)"
FSaveRace,10e0:58d4,001d:58d4,"int16_t FSaveRace(char *szFileSuggest, PLAYER *pplr)"
SetRCWTitle,10e0:5ab8,001d:5ab8,"void SetRCWTitle(HWND hwnd, int16_t iStep)"
CreateRandomRace,10e0:5b08,001d:5b08,"void CreateRandomRace(PLAYER *pplr)"
PctTrueMaxGrowth,10e0:65d4,001d:65d4,"int16_t PctTrueMaxGrowth(int16_t iplr)"
BattleVCR,10e8:0000,001e:0000,"void BattleVCR(int16_t iBattle)"
CBattles,10e8:028c,001e:028c,"int16_t CBattles()"
BtlDataGet,10e8:0362,001e:0362,"BTLDATA * BtlDataGet(int16_t i)"
CBattleUnits,10e8:0450,001e:0450,"int32_t CBattleUnits(BTLDATA *lpbd, uint16_t grbitBU)"
CBattleKills,10e8:062e,001e:062e,"int32_t CBattleKills(BTLDATA *lpbd, int16_t fOurDead)"
LdpFromItokDv,10e8:07a8,001e:07a8,"int32_t LdpFromItokDv(int16_t itok, DV *lpdv)"
SetVCRBoard,10e8:08d8,001e:08d8,"int16_t SetVCRBoard(int16_t iStep)"
VCRDlg,10e8:0e90,001e:0e90,"int16_t VCRDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
GetVCRStats,10e8:193e,001e:193e,"void GetVCRStats(int16_t itok, int32_t *pdpArmor, DV *pdv, int32_t *pdpShields, int16_t *pcsh)"
DrawVCR,10e8:1c62,001e:1c62,"void DrawVCR(HDC hdc, int16_t iStart, int16_t iEnd)"
