name,ghidra_addr,ne_addr,signature
FSendPlrMsg2XGen,1030:823a,0007:823a,"int16_t FSendPlrMsg2XGen(int16_t fPrepend, int16_t iMsg, int16_t iObj, int16_t p1, int16_t p2)"
IdmGetMessageN,1030:8412,0007:8412,"int16_t IdmGetMessageN(int16_t iMsg)"
FGetNMsgbig,1030:8444,0007:8444,"int16_t FGetNMsgbig(int16_t iMsg, MSGBIG *pmb)"
PszGetMessageN,1030:8580,0007:8580,"char * PszGetMessageN(int16_t iMsg)"
PszFormatString,1030:85cc,0007:85cc,"char * PszFormatString(char *pszFormat, int16_t *pParamsReal)"
MsgDlg,1030:8f68,0007:8f68,"int16_t MsgDlg(HWND hwnd, uint16_t message, uint16_t wParam, int32_t lParam)"
PszFormatMessage,1030:9220,0007:9220,"char * PszFormatMessage(MessageId idm, int16_t *pParams)"
PszFormatIds,1030:924c,0007:924c,"char * PszFormatIds(StringId ids, int16_t *pParams)"
FRemovePlayerMessage,1030:9278,0007:9278,"int16_t FRemovePlayerMessage(int16_t iPlr, int16_t iMsg, int16_t iObj)"
FFindPlayerMessage,1030:932a,0007:932a,"int16_t FFindPlayerMessage(int16_t iPlr, int16_t iMsg, int16_t iObj)"
MarkPlanetsPlayerLost,1030:93c6,0007:93c6,"void MarkPlanetsPlayerLost(int16_t iPlayer)"
MarkPlayersThatSentMsgs,1030:9604,0007:9604,"void MarkPlayersThatSentMsgs(int16_t iPlayer)"
WritePlayerMessages,1030:9702,0007:9702,"void WritePlayerMessages(int16_t iPlayer)"
ResetMessages,1030:98d6,0007:98d6,"void ResetMessages()"
ReadPlayerMessages,1030:994a,0007:994a,"void ReadPlayerMessages()"
FFinishPlrMsgEntry,1030:9bd6,0007:9bd6,"int16_t FFinishPlrMsgEntry(int16_t dInc)"
PszGetCompressedMessage,1030:9eb8,0007:9eb8,"char * PszGetCompressedMessage(MessageId idm)"
SetFilteringGroups,1030:a018,0007:a018,"void SetFilteringGroups(MessageId idm, int16_t fSet)"
FLookupSelPlanet,1038:0000,0008:0000,"int16_t FLookupSelPlanet(PLANET *ppl)"
FDupPlanet,1038:0032,0008:0032,"int16_t FDupPlanet(PLANET *lppl, PLANET *ppl)"
LpthFromId,1038:01b2,0008:01b2,"THING * LpthFromId(int16_t idth)"
LpplFromId,1038:021e,0008:021e,"PLANET * LpplFromId(int16_t idPlanet)"
CalcPctSurvive,1038:02f6,0008:02f6,"void CalcPctSurvive(PLANET *lppl, float *ppct, float *ppctSmart)"
FLookupPlanet,1038:04a6,0008:04a6,"int16_t FLookupPlanet(int16_t iPlanet, PLANET *ppl)"
DpOfLpflIshdef,1038:0746,0008:0746,"int32_t DpOfLpflIshdef(FLEET *lpfl, int16_t ishdef)"
FLookupThing,1038:07fe,0008:07fe,"int16_t FLookupThing(int16_t idth, THING *pth)"
SelectOursAtObject,1038:08f2,0008:08f2,"void SelectOursAtObject(POINT *ppt)"
LComputePower,1038:0b32,0008:0b32,"int32_t LComputePower(SHDEF *lpshdef)"
ComputeShdefPowers,1038:0e4e,0008:0e4e,"void ComputeShdefPowers()"
DpShieldOfShdef,1038:0f24,0008:0f24,"int32_t DpShieldOfShdef(SHDEF *lpshdef, int16_t iplr)"
IStargateFromLppl,1038:10fa,0008:10fa,"int16_t IStargateFromLppl(PLANET *lppl)"
PszPlayerName,1038:11f2,0008:11f2,"char * PszPlayerName(int16_t iPlayer, int16_t fCapital, int16_t fPlural, int16_t fThe, int16_t grWord, PLAYER *pplr)"
FCalcFleetBombDamage,1038:145c,0008:145c,"int16_t FCalcFleetBombDamage(FLEET *lpfl, int32_t *pdmgPeople, int32_t *pdmgPeopleMin, int32_t *pdmgPeopleSmart, int32_t *pdmgBldg, int32_t *ppctTerra, int16_t *pfMulti)"
LinkFleets,1038:1bb4,0008:1bb4,"void LinkFleets(int16_t fUnused)"
ICompFleetPoint,1038:1f0c,0008:1f0c,"int16_t ICompFleetPoint(void *arg1, void *arg2)"
ICompFleetPoint2,1038:1fa2,0008:1fa2,"int16_t ICompFleetPoint2(void *arg1, void *arg2)"
FLookupSelShip,1038:2032,0008:2032,"int16_t FLookupSelShip(FLEET *pfl)"
LpflFromId,1038:2078,0008:2078,"FLEET * LpflFromId(int16_t idFleet)"
FLookupFleet,1038:2160,0008:2160,"int16_t FLookupFleet(int16_t idFleet, FLEET *pfl)"
FDupFleet,1038:2332,0008:2332,"int16_t FDupFleet(FLEET *lpfl, FLEET *pfl)"
FLookupObject,1038:24a0,0008:24a0,"int16_t FLookupObject(GrobjClass grobj, int16_t id, void *pobj)"
FLookupOrbitingXfer,1038:24fa,0008:24fa,"int16_t FLookupOrbitingXfer(int16_t idPlanet, int16_t iNth, XFER *pxf, int16_t idSkip)"
PszGetThingName,1038:26de,0008:26de,"char * PszGetThingName(int16_t id)"
PszGetFleetName,1038:292c,0008:292c,"char * PszGetFleetName(int16_t id)"
WFromLpfl,1038:2b10,0008:2b10,"uint16_t WFromLpfl(FLEET *lpfl)"
PszFleetNameFromWord,1038:2b5e,0008:2b5e,"char * PszFleetNameFromWord(uint16_t w)"
PszGetPlanetName,1038:2c6a,0008:2c6a,"char * PszGetPlanetName(int16_t id)"
IflFromLpfl,1038:2ce8,0008:2ce8,"int16_t IflFromLpfl(FLEET *lpfl)"
FDeleteFleet,1038:2d44,0008:2d44,"int16_t FDeleteFleet(int16_t idFleet, GrobjClass grobjSel, int16_t idSel)"
LpflNew,1038:300c,0008:300c,"FLEET * LpflNew(int16_t iPlr, int16_t idPl)"
LpflNewSplit,1038:3372,0008:3372,"FLEET * LpflNewSplit(FLEET *pfl)"
FFleetMergeAll,1038:34d8,0008:34d8,"int16_t FFleetMergeAll(FLEET *pfl)"
FFleetSplitAll,1038:3a00,0008:3a00,"int16_t FFleetSplitAll(FLEET *pfl)"
PszGetLocName,1038:3b08,0008:3b08,"char * PszGetLocName(GrobjClass grobj, int16_t id, int16_t x, int16_t y)"
CchGetETA,1038:3bc8,0008:3bc8,"int16_t CchGetETA(HDC hdc, FLEET *lpfl, char *sz, int16_t iwp, int16_t fSmall)"
IshdefPrimaryFromLpfl,1038:3e1c,0008:3e1c,"int16_t IshdefPrimaryFromLpfl(FLEET *lpfl, int16_t *pcDiff)"
PszGetDistance,1038:3f00,0008:3f00,"char * PszGetDistance(int16_t x1, int16_t y1, int16_t x2, int16_t y2)"
DGetDistance,1038:3fe4,0008:3fe4,"double DGetDistance(int16_t x1, int16_t y1, int16_t x2, int16_t y2)"
FFindNearestObject,1038:4070,0008:4070,"int16_t FFindNearestObject(POINT pt, GrobjClass grobj, SCAN *pscan)"
UpdateShdefCost,1038:47b0,0008:47b0,"void UpdateShdefCost(SHDEF *lpshdef)"
WPackLong,1038:4ba2,0008:4ba2,"uint16_t WPackLong(int32_t l)"
GetPlanetScannerRange,1038:4c02,0008:4c02,"int16_t GetPlanetScannerRange(PLANET *lppl, int16_t *pDeep)"
GetCachedFleetScannerRange,1038:4e02,0008:4e02,"int16_t GetCachedFleetScannerRange(FLEET *lpfl, int16_t *pdPlanRange, int16_t *ppctDetect, int16_t *piSteal)"
GetFleetScannerRange,1038:4fb8,0008:4fb8,"int16_t GetFleetScannerRange(FLEET *lpfl, int16_t *pdPlanRange, int16_t *ppctDetect, int16_t *piSteal)"
GetShdefScannerRange,1038:50d0,0008:50d0,"int16_t GetShdefScannerRange(SHDEF *lpshdef, int16_t iplr, int16_t *pdPlanRange, int16_t *ppctDetect, int16_t *piSteal)"
LCalcFuelGainFromRamScoops,1038:56b8,0008:56b8,"int32_t LCalcFuelGainFromRamScoops(FLEET *lpfl, int16_t iWarp, int32_t dTravel)"
CalcPlayerScore,1038:58a6,0008:58a6,"int32_t CalcPlayerScore(int16_t iPlr, SCORE *pscore)"
GetTrueHullCost,1038:5dba,0008:5dba,"void GetTrueHullCost(int16_t iPlayer, HUL *lphul, uint16_t *rgCost)"
DecorateHullName,1038:5e0e,0008:5e0e,"void DecorateHullName(int16_t iplr, int16_t ish, char *psz)"
DrawABunchOfStars,1038:5fe2,0008:5fe2,"void DrawABunchOfStars(HDC hdc, RECT *prc)"
LongFromSerialCh,1038:6280,0008:6280,"int32_t LongFromSerialCh(char ch)"
FValidSerialNo,1038:62f8,0008:62f8,"int16_t FValidSerialNo(char *psz, int32_t *plSerial)"
FMatchTarget,1038:6612,0008:6612,"int16_t FMatchTarget(FLEET *lpflTarget, int16_t mdTarget, int16_t fExact)"
ValidateWaypoints,1038:68c6,0008:68c6,"void ValidateWaypoints()"
ChgPopFromPlanet,1038:7082,0008:7082,"int32_t ChgPopFromPlanet(PLANET *lppl, int16_t fUpdate)"
FCanFleetUseStargates,1038:75e2,0008:75e2,"int16_t FCanFleetUseStargates(FLEET *lpfl, POINT ptSrc, POINT ptDst)"
FFleetCanJumpgate,1038:7960,0008:7960,"int16_t FFleetCanJumpgate(FLEET *lpfl)"
WtFromLpfl,1038:7a68,0008:7a68,"int32_t WtFromLpfl(FLEET *lpfl)"
FCanBuildShdef,1038:7b40,0008:7b40,"int16_t FCanBuildShdef(SHDEF *lpshdef, int16_t iplr)"
IshFindSimilarDesign,1038:7c5e,0008:7c5e,"int16_t IshFindSimilarDesign(HUL *lphul, int16_t iPlrDst)"
DrawPlanetPrintDot,1038:7e44,0008:7e44,"void DrawPlanetPrintDot(HDC hdc, int16_t x, int16_t y, int16_t iSize)"
ClearFile,1038:7f6a,0008:7f6a,"void ClearFile(int16_t dt)"
OutputSz,1038:7fe6,0008:7fe6,"void OutputSz(int16_t dt, char *sz)"
TurnLog,1038:80c2,0008:80c2,"void TurnLog(StringId ids)"
PushRandom,1040:1440,0009:1440,"void PushRandom(int32_t lNew1, int32_t lNew2)"
PopRandom,1040:14a2,0009:14a2,"void PopRandom()"
Randomize,1040:15ea,0009:15ea,"void Randomize(uint32_t dw)"
Randomize2,1040:165a,0009:165a,"void Randomize2(uint32_t dw)"
Random,1040:16d2,0009:16d2,"int16_t Random(int16_t c)"
RandomSeedDlg,1040:188a,0009:188a,"int16_t RandomSeedDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
GetFileSeeds,1040:1a4e,0009:1a4e,"void GetFileSeeds(int32_t *pl1, int32_t *pl2)"
SetFileSeeds,1040:1a7c,0009:1a7c,"void SetFileSeeds(int32_t l1, int32_t l2)"
SetFileXorStream,1040:1aa6,0009:1aa6,"void SetFileXorStream(int32_t lid, int16_t lSalt, int16_t turn, int16_t iPlayer, int16_t fCrippled)"
LGetNextFileXor,1040:1b54,0009:1b54,"int32_t LGetNextFileXor()"
XorFileBuf,1040:1cc4,0009:1cc4,"void XorFileBuf(char *rgb, int16_t cb)"
ICompLong,1040:1d74,0009:1d74,"int16_t ICompLong(void *arg1, void *arg2)"
PszGetCompressedPlanet,1040:1d96,0009:1d96,"char * PszGetCompressedPlanet(int16_t id)"
OutputFileString,1040:1f64,0009:1f64,"void OutputFileString(char *szFile, char *sz)"
CopyFile,1040:1ffa,0009:1ffa,"void CopyFile(char *szSrc, char *szDst)"
AlertSz,1040:2160,0009:2160,"int16_t AlertSz(char *sz, MessageBoxType mbType)"
CchGetString,1040:221e,0009:221e,"int16_t CchGetString(StringId ids, char *psz)"
PszFromInt,1040:2274,0009:2274,"char * PszFromInt(int16_t i, int16_t *pcch)"
PszFromLong,1040:22b6,0009:22b6,"char * PszFromLong(int32_t l, int16_t *pcch)"
PszFromLongK,1040:22fe,0009:22fe,"char * PszFromLongK(int32_t l, int16_t *pcch)"
CommaFormatLong,1040:2440,0009:2440,"int16_t CommaFormatLong(char *psz, int32_t l)"
CtrTextOut,1040:2534,0009:2534,"void CtrTextOut(HDC hdc, int16_t x, int16_t y, char *psz, int16_t cLen)"
DxStreamTextOut,1040:2590,0009:2590,"int16_t DxStreamTextOut(HDC hdc, int16_t *px, int16_t y, char *psz, int16_t cLen, int16_t fPrint)"
WrapTextOut,1040:25fe,0009:25fe,"void WrapTextOut(HDC hdc, int16_t *px, int16_t *py, char *psz, int16_t cLen, int16_t xLeft, int16_t dxWidth, int16_t *pxMax, int16_t fNewLine, int16_t fPrint)"
AddBackTrailingSpaces,1040:280c,0009:280c,"void AddBackTrailingSpaces(char **ppch, char *pchEnd)"
ChopLastWord,1040:2842,0009:2842,"void ChopLastWord(char *pBeg, char **ppEnd)"
ChopTrailingSpaces,1040:28c6,0009:28c6,"void ChopTrailingSpaces(char *pBeg, char **ppEnd)"
RcCtrTextOut,1040:28fc,0009:28fc,"void RcCtrTextOut(HDC hdc, RECT *prc, char *psz, int16_t cLen)"
RightTextOut,1040:29d6,0009:29d6,"void RightTextOut(HDC hdc, int16_t x, int16_t y, char *psz, int16_t cLen, int16_t dxErase)"
DiaganolTextOut,1040:2afa,0009:2afa,"void DiaganolTextOut(HDC hdc, RECT *prc, char *psz, int16_t cLen)"
ExpandRc,1040:2f0c,0009:2f0c,"void ExpandRc(RECT *prc, int16_t dx, int16_t dy)"
OffsetRc,1040:2f3e,0009:2f3e,"void OffsetRc(RECT *prc, int16_t dx, int16_t dy)"
BoundPoints,1040:2f70,0009:2f70,"void BoundPoints(RECT *prc, POINT *rgpt, int16_t cpt)"
StickyDlgPos,1040:3094,0009:3094,"void StickyDlgPos(HWND hwnd, POINT *ppt, int16_t fInit)"
LDrawGauge,1040:31a2,0009:31a2,"int32_t LDrawGauge(HDC hdc, RECT *prc, int16_t cSegs, int32_t *rgSize, uint16_t *rghbr, int32_t cTot)"
_Draw3dFrame,1040:336a,0009:336a,"void _Draw3dFrame(HDC hdc, RECT *prc, int16_t fErase)"
InitBtnTrack,1040:354c,0009:354c,"void InitBtnTrack(BTNT *pbtnt, HWND hwnd, HDC hdc, RECT *prc, int16_t btf, int16_t dTimer, int16_t fInitDown, int16_t fNoEndRedraw, char *szText)"
FTrackBtn,1040:364a,0009:364a,"int16_t FTrackBtn(BTNT *pbtnt)"
DrawBtn,1040:38b8,0009:38b8,"void DrawBtn(HDC hdc, RECT *prc, int16_t bt, int16_t fDown, char *szText)"
FGetMouseMove,1040:4146,0009:4146,"int16_t FGetMouseMove(POINT *ppt)"
FGetRMouseMove,1040:41e0,0009:41e0,"int16_t FGetRMouseMove(POINT *ppt)"
DrawFuzzyBorder,1040:427a,0009:427a,"void DrawFuzzyBorder(HDC hdc, RECT *prc)"
FStringFitsScreen,1040:43aa,0009:43aa,"int16_t FStringFitsScreen(char *lpsz, int16_t dxMax)"
HbrGet,1040:4448,0009:4448,"HBRUSH HbrGet(COLORREF cr)"
FreeHbr,1040:4532,0009:4532,"void FreeHbr(HBRUSH hbr)"
FCompressUserString,1040:45a0,0009:45a0,"int16_t FCompressUserString(char *szIn, char *szOut, int16_t *pcOut)"
FDecompressUserString,1040:46e8,0009:46e8,"int16_t FDecompressUserString(char *szIn, int16_t cIn, char *szOut, int16_t *pcOut)"
NybbleFromCh,1040:4880,0009:4880,"int16_t NybbleFromCh(uint8_t ch)"
ChFromNybble,1040:49ea,0009:49ea,"char ChFromNybble(int16_t nyb)"
DibNumColors,1040:4a9a,0009:4a9a,"uint16_t DibNumColors(void *pv)"
HpalFromDib,1040:4b50,0009:4b50,"HPALETTE HpalFromDib(HGLOBAL hdib)"
HpalBlackReserved,1040:4c9c,0009:4c9c,"HPALETTE HpalBlackReserved()"
PaletteSize,1040:4d60,0009:4d60,"uint16_t PaletteSize(void *pv)"
DibBlt,1040:4db8,0009:4db8,"int16_t DibBlt(HDC hdc, int16_t x0, int16_t y0, int16_t dx, int16_t dy, HGLOBAL hdib, int16_t x1, int16_t y1, int16_t dxSrc, int16_t dySrc, int32_t rop)"
DibFromBitmap,1040:4e90,0009:4e90,"HGLOBAL DibFromBitmap(uint16_t hbm, uint32_t biStyle, uint16_t biBits, HPALETTE hpal)"
HdibLoadBigResource,1040:5220,0009:5220,"HGLOBAL HdibLoadBigResource(int16_t idb)"
ReadBigBlock,1040:5310,0009:5310,"int16_t ReadBigBlock(int16_t hFile, char *lpBuffer, uint32_t dwSize)"
FIntersectCircleLine,1040:53b4,0009:53b4,"int16_t FIntersectCircleLine(POINT ptL1, POINT ptL2, POINT ptC, int32_t r2, int16_t dMax, int16_t *pdStart, int16_t *pdEnd)"
IntToRoman,1040:5830,0009:5830,"void IntToRoman(int16_t i, char *pszOut)"
FCheckPassword,1040:58d8,0009:58d8,"int16_t FCheckPassword()"
LSaltFromSz,1040:59ce,0009:59ce,"int32_t LSaltFromSz(char *psz)"
PasswordDlg,1040:5a72,0009:5a72,"int16_t PasswordDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
NewPasswordDlg,1040:5cba,0009:5cba,"int16_t NewPasswordDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
GetDiskSerialNumber,1040:5fc0,0009:5fc0,"uint32_t GetDiskSerialNumber()"
ShowProgressGauge,1040:636c,0009:636c,"void ShowProgressGauge()"
HideProgressGauge,1040:63b2,0009:63b2,"void HideProgressGauge()"
UpdateProgressGauge,1040:63da,0009:63da,"void UpdateProgressGauge(int16_t pctX10)"
ProgressGaugeDlg,1040:647e,0009:647e,"int16_t ProgressGaugeDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawProgressGauge,1040:65f6,0009:65f6,"void DrawProgressGauge(HDC hdcOrig, int16_t fFull, int16_t iNumOnly)"
LDistance2,1040:685c,0009:685c,"int32_t LDistance2(POINT pt1, POINT pt2)"
PszGetLine,1040:68ba,0009:68ba,"char * PszGetLine(char **ppszBeg)"
CParseNumbers,1040:6986,0009:6986,"int16_t CParseNumbers(char *psz, int32_t *pl, int16_t cMax)"
HfontPrinterCreate,1040:6aa6,0009:6aa6,"HFONT HfontPrinterCreate(HDC hdc, int16_t iSize, int16_t *pdyFont)"
PlanetWndProc,1048:0000,000a:0000,"int32_t PlanetWndProc(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawPlanShip,1048:0d16,000a:0d16,"void DrawPlanShip(HDC hdc, int16_t grbit)"
FDrawTileNC,1048:1086,000a:1086,"int16_t FDrawTileNC(HDC hdc, TILE *ptile, RECT *prc, char *pszTitle)"
DrawPlanetMinSum,1048:12b2,000a:12b2,"void DrawPlanetMinSum(HDC hdc, TILE *ptile, OBJ obj)"
DrawPlanetStats,1048:1716,000a:1716,"void DrawPlanetStats(HDC hdc, TILE *ptile, OBJ obj)"
FGetBestDefensePart,1048:21f6,000a:21f6,"int16_t FGetBestDefensePart(PART *ppart)"
DrawPlanetStarbase,1048:22cc,000a:22cc,"void DrawPlanetStarbase(HDC hdc, TILE *ptile, OBJ obj)"
DrawMassWarpGauge,1048:2afa,000a:2afa,"void DrawMassWarpGauge(HDC hdc, RECT *prc, int16_t iBest, int16_t iCur)"
DrawPlanetProduction,1048:2c38,000a:2c38,"void DrawPlanetProduction(HDC hdc, TILE *ptile, OBJ obj)"
PszProductionETA,1048:310c,000a:310c,"char * PszProductionETA(PLANET *lppl, PLPROD *lpplprod, ProdItemType iItem, int16_t *etaFirst, int16_t *etaLast)"
